 Name_of_Data_Enterer,Date_Collected,Date_Fixed,Date_Processed,Site_Number,Treatment,Species,Sample_number,Test_Height_mm,Test_Diameter_mm,Animal_Wet_Mass_g,Animal_24hr_Mass_g,Gonad_Mass_g,Soft_Tissue_Mass_g,Notes,Date_Entered
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,012,,22.69,5.58,,,1.37,,2024-05-30 15:13:39
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,013,,37.81,18.4,,,5.73,,2024-05-30 15:14:14
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,014,,13.1,13.76,,,3.94,,2024-05-30 15:15:03
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,015,,27.85,8.88,,,2.85,,2024-05-30 15:16:05
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,016,,16.75,2.09,,,0.19,,2024-05-30 15:16:37
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,017,,33.81,16.9,,,5.95,,2024-05-30 15:17:02
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,018,,38.59,22.68,,,7.36,,2024-05-30 15:17:50
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,019,,41.98,28.54,,,9.76,,2024-05-30 15:18:19
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,020,,35.41,18.55,,,6.52,,2024-05-30 15:19:12
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,021,,41.68,27.64,,,10.44,,2024-05-30 15:20:11
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,022,,24.43,6.8,,,1.11,,2024-05-30 15:20:55
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,023,,24.43,6.8,,,7.18,,2024-05-30 15:21:55
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,024,,38.03,21.55,,,6.74,,2024-05-30 15:22:49
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,025,,47.98,37.05,,,12.85,,2024-05-30 15:23:29
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,026,,30.88,10.99,,,3.31,,2024-05-30 15:24:42
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,027,,35.25,16.99,,,5.56,,2024-05-30 15:25:28
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,028,,37.07,18.26,,,6.67,,2024-05-30 15:25:59
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,029,,43.44,30.73,,,11.72,,2024-05-30 15:26:30
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,030,,36.56,17.46,,,5.6,,2024-05-30 15:27:01
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,031,,49.34,48.17,,,21.12,,2024-05-30 15:28:32
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,032,,24.22,6.21,,,1.01,,2024-05-30 15:28:55
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,033,,33.2,14.37,,,4.61,,2024-05-30 15:29:20
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,034,,31.13,12.09,,,3.12,,2024-05-30 15:29:50
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,035,,42.85,27.51,,,9.55,,2024-05-30 15:30:22
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,036,,28.19,10.25,,,2.73,,2024-05-30 15:31:45
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,037,,34.4,18.63,,,6.36,,2024-05-30 15:32:15
Ilia Borromeo,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,038,,23.05,6.65,,,1.07,,2024-05-30 15:33:09
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,039,,29.39,11.03,,,2.81,,2024-05-30 15:39:53
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,040,,31.32,11.37,,,3.55,,2024-05-30 15:42:35
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,041,,31.64,12.42,,,3.49,,2024-05-30 15:43:31
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,042,,14.94,11.04,,,2.16,,2024-05-30 15:44:07
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,043,,27.74,11.75,,,2.19,,2024-05-30 15:45:16
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,044,,39.06,16.26,,,5.51,,2024-05-30 15:45:49
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,045,,58.2,60.88,,,27.07,,2024-05-30 15:46:26
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-28,DAVIT,5 mmol MgCL,purple_urchin,046,,41.14,26.22,,,9.56,,2024-05-30 15:46:52
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,047,,33.58,14.32,,,3.65,,2024-05-30 15:49:11
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,048,,29.99,10.12,,,3.33,,2024-05-30 15:49:42
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,049,,44.33,30.98,,,19.22,,2024-05-30 15:50:35
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,050,,35.54,17.01,,,6.42,,2024-05-30 15:51:18
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,051,,29.11,10.42,,,3.09,,2024-05-30 15:51:44
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,052,,42.33,28.63,,,12.21,,2024-05-30 15:52:13
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,053,,27.86,9.29,,,3.41,,2024-05-30 15:52:40
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,054,,38.98,25.35,,,9.59,,2024-05-30 15:53:10
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,055,,23.42,5.27,,,1.11,,2024-05-30 15:53:36
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,056,,25.11,6.88,,,2.23,,2024-05-30 15:54:02
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,057,,35.45,16.85,,,5.55,,2024-05-30 15:54:25
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,058,,33.28,12.5,,,5.13,,2024-05-30 15:54:58
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,059,,26.1,5.56,,,1.42,,2024-05-30 15:55:26
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,060,,40.01,18.85,,,7.28,,2024-05-30 15:56:01
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,061,,34.76,15.61,,,6.43,,2024-05-30 15:57:14
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,062,,36.79,19.23,,,7.5,,2024-05-30 15:57:35
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,063,,30.47,12.03,,,4,,2024-05-30 15:57:54
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,064,,32.94,9.71,,,2.98,,2024-05-30 15:58:12
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,065,,26.54,8.14,,,2.75,,2024-05-30 15:58:29
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,066,,17.42,2.78,,,0.85,,2024-05-30 15:58:49
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,067,,36.75,19.72,,,9.39,,2024-05-30 15:59:11
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,068,,40.26,11.53,,,13.51,,2024-05-30 15:59:36
Jeanette Favaloro,2024-05-28,2024-05-28,2024-05-29,DAVIT,5 mmol MgCL,purple_urchin,069,,29.71,11.53,,,4.2,,2024-05-30 15:59:59
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,070,,27.28,6.03,,,1.82,,2024-05-30 16:05:28
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,071,,27.28,6.03,,,1.82,,2024-05-30 16:08:05
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,072,,66.81,107.45,,,53.57,,2024-05-30 16:09:28
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,073,,40.8,23.81,,,9.67,,2024-05-30 16:09:58
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,074,,41.4,22.38,,,11.71,,2024-05-30 16:11:23
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,075,,39.27,22.57,,,9.15,,2024-05-30 16:11:57
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,076,,41.13,27.56,,,13.31,,2024-05-30 16:12:41
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,077,,29.61,15.19,,,6.21,,2024-05-30 16:13:03
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,078,,27.55,9.35,,,2.73,,2024-05-30 16:13:30
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,079,,31.11,11.82,,,4.19,,2024-05-30 16:13:56
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,080,,32.98,15.29,,,3.43,,2024-05-30 16:14:23
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,081,,32.18,18.15,,,7.23,,2024-05-30 16:15:29
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,082,,30.42,12.03,,,3.78,,2024-05-30 16:15:51
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,083,,35.92,19.6,,,7.19,,2024-05-30 16:16:15
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,084,,28.32,6.58,,,2.58,,2024-05-30 16:16:41
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,085,,20.31,3.84,,,1.49,,2024-05-30 16:17:27
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,086,,40.63,25.07,,,9.74,,2024-05-30 16:17:53
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,087,,31.96,12.16,,,4.05,,2024-05-30 16:18:18
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,088,,16.56,2.05,,,0.29,,2024-05-30 16:18:42
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,089,,39.17,24.55,,,11.15,,2024-05-30 16:19:08
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,090,,35.22,18.34,,,7.16,,2024-05-30 16:19:40
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,091,,32.84,13.88,,,1.74,,2024-05-30 16:20:44
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,092,,40.9,22.7,,,8.6,,2024-05-30 16:21:04
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,093,,40.1,24.92,,,9.87,,2024-05-30 16:21:51
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,094,,42.47,32.2,,,12.65,,2024-05-30 16:22:14
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,095,,31.54,11.96,,,4.28,,2024-05-30 16:22:44
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,096,,27.44,11.47,,,3.88,,2024-05-30 16:23:04
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,0097,,27.87,9.57,,,2.17,,2024-05-30 16:23:26
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,098,,25.01,5.37,,,1.85,,2024-05-30 16:23:45
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,099,,28.79,11.3,,,4.1,,2024-05-30 16:24:10
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,100,,19.02,3.18,,,0.7,,2024-05-30 16:24:33
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,111,,12.74,1.34,,,0.33,,2024-05-30 16:25:46
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,112,,15.95,19.33,,,7.11,,2024-05-30 16:26:09
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,113,,28.09,10.94,,,3.78,,2024-05-30 16:26:31
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,114,,30.79,9.83,,,2.78,,2024-05-30 16:26:56
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,115,,43.23,33.18,,,13.52,,2024-05-30 16:27:21
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,116,,33.79,16.44,,,5.63,,2024-05-30 16:27:44
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,117,,18.14,2.58,,,0.83,,2024-05-30 16:28:04
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,118,,21.39,3.75,,,1.14,,2024-05-30 16:28:27
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,119,,18.19,2.27,,,0.85,,2024-05-30 16:28:47
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,120,,74.2,163.71,,,82.35,,2024-05-30 16:29:34
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,121,,63.25,78.27,,,28.14,,2024-05-30 16:30:34
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,122,,61.19,84.67,,,35.54,,2024-05-30 16:31:15
Joie DeNike,2024-05-28,2024-05-28,2024-05-30,DAVIT,5 mmol MgCL,purple_urchin,123,,60.5,74.47,,,28.78,,2024-05-30 16:31:40
